index,Name,Provider,Image_url,RTP,Pay_lines,Free_spins,Bonus_game
26,The Wish Master,NetEnt,the-wish-master-slot-netent.jpg,96.6%,20,Yes,No
27,Piggy Riches,NetEnt,piggy-riches-slot-netent.jpg,96.4%,15,Yes,No
28,Go Bananas,NetEnt,go-bananas-slot-netent.jpg,96.9%,20,No,No
29,Big Bang,NetEnt,big-bang-slot-netent.jpg,96%,25,No,No
30,Magic Portals,NetEnt,magic-portals-slot-netent.jpg,96.6%,25,Yes,Yes
31,Reel Rush,NetEnt,reel-rush-slot-netent.jpg,97%,3125,Yes,Yes
32,Playboy,Microgaming,playboy-slot-microgaming.jpg,96.57%,243,Yes,No
33,Wild Water,NetEnt,wild-water-slot-netent.jpg,,20 ,Yes,Yes
34,Terminator 2,Microgaming,terminator-2-slot-microgaming.jpg,Unknown,243,Yes,Yes
35,The Invisible Man,NetEnt,the-invisible-man-slot-netent.jpg,96.4%,20,Yes,Yes
36,Great Blue,Playtech,great-blue-slot-playtech-2.jpg,96.03%,25,Yes,Yes
37,Flowers,NetEnt,flowers-slot-netent.jpg,96.3%,30,Yes,Yes
38,Kings of Chicago,NetEnt,kings-of-chicago-slot-netent.jpg,97.8%,5,Yes,No
39,Thunderfist,NetEnt,thunderfist-slot-netent.jpg,96.7%,243,Yes,No
40,Evolution,NetEnt,evolution-slot-netent.jpg,96.3%,25,Yes,Yes
41,Break Away,Microgaming,break-away-slot-microgaming.jpg,96.42%,243,Yes,No
42,Space Wars,NetEnt,space-wars-slot-netent.jpg,96.8%,40,No,Yes
43,EggOMatic,NetEnt,eggomatic-slot-netent.jpg,96.5%,20,Yes,Yes
44,Aliens,NetEnt,aliens-slot-netent.jpg,96.4%,15,Yes,Yes
45,Attraction,NetEnt,attraction-slot-netent.jpg,96.7%,10,Yes,No
46,South Park: Reel Chaos,NetEnt,south-park-reel-chaos-slot-netent.jpg,96.8%,20,Yes,Yes
47,Dracula,NetEnt,dracula-slot-netent.jpg,96.60%,40,Yes,No
48,Avalon,Microgaming,avalon-slot-microgaming-2.jpg,96.01%,20,Yes,No
49,Break da Bank Again,Microgaming,break-da-bank-again-slot-microgaming.jpg,95.43%,9,Yes,No
50,Mr Cashback,Playtech,mr-cashback-slot-playtech.jpg,95.5%,15,Yes,Yes
51,Egyptian Heroes,NetEnt,egyptian-heroes-slot-netent.jpg,96.7%,20,Yes,Yes
52,Mythic Maiden,NetEnt,mythic-maiden-slot-netent.jpg,96.6%,30,Yes,No
53,Wild Rockets,NetEnt,wild-rockets-slot-netent.jpg,96.7%,720,Yes,No
54,Steam Tower,NetEnt,steam-tower-2.jpg,97%,15,Yes,No
55,HellBoy,Microgaming,hellboy-slot-microgaming.jpg,96.5%,20,Yes,Yes
56,Ghost Pirates,NetEnt,ghost-pirates-slot-netent.jpg,96.9%,243,Yes,No
57,The Finer Reels of Life,Microgaming,the-finer-reels-of-life-slot-microgaming.jpg,96.47%,243,Yes,Yes
58,Wild Turkey,NetEnt,wild-turkey-slot-netent.jpg,96.6%,20,Yes,No
59,Spinata Grande,NetEnt,spinata-grande-slot-netent.jpg,96.84%,40,Yes,Yes
60,Kathmandu,Microgaming,kathmandu-slot-microgaming.jpg, 96.29%,9,Yes,No
61,Girls with Guns Jungle Heat,Microgaming,girls-with-guns-jungle-heat-slot-microgaming.jpg,96.55%,243,Yes,No
62,Fisticuffs,NetEnt,fisticuffs-slot-netent.jpg,96.7%,10,No,Yes
63,Leagues of Fortune,Microgaming,leagues-of-fortune-slot-microgaming.jpg,96.5%,1024,Yes,No
64,Untamed Crowned Eagle,Microgaming,untamed-crowned-eagle-slot-microgaming.jpg,96%,243,Yes,Yes
65,Football Star,Microgaming,football-star-slot-microgaming.jpg,,243,Yes,No
66,Medusa II,NextGen,medusa-ii-slot-nextgen.jpg,97.07%,243,Yes,No
67,Agent Jane Blonde,Microgaming,agent-jane-blonde-slot-microgaming.jpg,96.1%,9,Yes ,No
68,Mad Hatters,Microgaming,mad-hatters-slot-microgaming.jpg,96.08%,30,Yes,Yes
69,Thunderstruck,Microgaming,thunderstruck-slot-microgaming.jpg,96.1%,9,Yes,No
70,Deck The Halls,Microgaming,deck-the-halls-slot-microgaming.jpg,95.38%,30,Yes,No
71,Rocky,Playtech,rocky-slot-playtech.jpg,95%,25,Yes,Yes
72,Alien Robots,NetEnt,alien-robots-slot-netent-2.jpg,96.3%,243,Yes,No
73,Halloween Fortune,Playtech,halloween-fortune-slot-playtech.jpg,97%,20,Yes,No
74,Alaskan Fishing,Microgaming,alaskan-fishing-slot-microgaming.jpg,96.63%,243,Yes,Yes
75,Scarface,NetEnt,scarface-2.jpg,96.8%,20,Yes,Yes
76,Beach,NetEnt,beach-slot-3.jpg,96.8%,20,Yes,Yes
77,Disco Spins,NetEnt,disco-spins-slot-netent.jpg,96.4%,20,Yes,Yes
78,Elements The Awakening,NetEnt,elements-the-awakening-2.jpg,96%,20,Yes,Yes
79,Thief,NetEnt,thief-slot-netent.jpg,96.7%,25,Yes,No
80,Silent Run,NetEnt,silent-run-slot-netent.jpg,96.1%,25,No,Yes
81,Dolphin Quest,Microgaming,dolphin-quest-2.jpg,96.12%,50,No,No
82,300 Shields,NextGen,300-shields-slot-nextgen.jpg,95.30%,25,Yes,Yes
83,Cool Wolf,Microgaming,cool-wolf-slot-microgaming.jpg,,243,Yes,No
84,Neon Staxx,NetEnt,neon-staxx-slot-netent.jpg,Unknown,40,Yes,No
85,Guns N' Roses,NetEnt,guns-n-roses-slot-netent.jpg,96.98%,20,Yes,Yes
86,Age Of Discovery,Microgaming,age-of-discovery-slot-microgaming.jpg,96.62%,25,Yes,No
87,Excalibur,NetEnt,excalibur-slot-netent-2.jpg,95.1%,20,Yes,Yes
88,Boom Brothers,NetEnt,boom-brothers-slot-netent.jpg,96.4%,20,Yes,Yes
89,Hot Ink,Microgaming,hot-ink-slot-microgaming.jpg,97.5%,1024,Yes,No
90,Asian Beauty,Microgaming,asian-beauty-2.jpg,96.5%,243,Yes,Yes
91,Crime Scene,NetEnt,crime-scene-slot-netent.jpg,96.7%,243,No,Yes
92,Untamed Giant Panda,Microgaming,untamed-giant-slot-microgaming.jpg,96.32%,243,Yes,No
93,Red Hot Devil,Microgaming,red-hot-devil-slot-microgaming.jpg,,25,Yes,Yes
94,Stickers,NetEnt,stickers-slot-slot-netent.jpg,96.69%,20,No,No
95,Dazzle Me,NetEnt,dazzle-me-3.jpg,96.9%,76,Yes,No
96,Hook's Heroes,NetEnt,hooks-heroes-slot-netent.jpg,96.82%,20,Yes,Yes
97,Doctor Love,Microgaming,dr-love-slot-microgaming.jpg,95%,20,Yes,No
98,Reel Steal,NetEnt,reel-steal-slot-netent.jpg,95.9%,9,Yes,No
99,Tomb Raider,Microgaming,tomb-raider.jpg,96.5%,15,Yes,No
100,Book of Ra,Novomatic,book-of-ra-slot-novomatic.jpg,96%,9,Yes,No
101,Frankenstein,NetEnt,frankenstein-slot-netent.jpg,96.7%,20,Yes,Yes
102,Dragon Island,NetEnt,dragon-island-2.jpg,96.7%,15,Yes,Yes
103,Untamed Wolf Pack,Microgaming,untamed-wolf.jpg,96.17%,243,Yes,No
104,Girls With Guns Frozen Dawn,Microgaming,girls-with-guns-frozen-dawn-slot-microgaming.jpg,,243,Yes,Yes
105,Fish Party,Microgaming,fish-party-slot-microgaming-2.jpg,Unknown,243,Yes,Yes
106,Fruit Warp,Thunderkick,fruit-warp-slot-thunderkick.jpg,97%,,Yes,No
107,Barber Shop,Thunderkick,barber-shop-slot-thunderkick.jpg,97%,25,Yes,No
108,Max Damage,Microgaming,max-damage-slot-microgaming.jpg,Unknown,243,Yes,No
109,Jimi Hendrix,NetEnt,jimi-hendrix.jpg,96.9%,20,Yes,No
110,Bonanza,Big Time Gaming,bonanza-slot-2.jpg,96%,117649,Yes,No
111,Adventure Palace,Microgaming,adventure-palace.jpg,96.1%,9,Yes,No
112,Loaded,Microgaming,loaded-3.jpg,96.29%,25,Yes,No
113,Wild Witches,NetEnt,wild-witches.jpg,96.1%,20,Yes,No
114,Fruit Case,NetEnt,fruit-case.jpg,96.4%,20, Yes,No
115,Throne of Egypt,Microgaming,throne-of-egypt-slot-microgaming.jpg,96.41%,25,Yes,Yes
116,Santa's Wild Ride,Microgaming,santas-wild-ride-2.jpg,96.47%,243,Yes,No
117,Subtopia,NetEnt,subtopia-slot.jpg,96.1%,20,Yes,No
118,Great Griffin,Microgaming,great-griffin-2.jpg,96.79%,50,Yes,No
119,Secret Santa,Microgaming,secret-santa.jpg,96.32%,1024,Yes,No
120,Lucky Koi,Microgaming,lucky-koi-2.jpg,97%,25,Yes,Yes
121,Esqueleto Explosivo,Thunderkick,esqueleto-explosivo.jpg,97.6%,17,No,No
122,So Many Monsters,Microgaming,so-many-monsters-3.jpg,Unknown,25,Yes ,No
123,Energoonz,Play'n Go,energoonz-slot-playn-go.jpg,97%,,Yes,No
124,Pyramid: Quest for Immortality,NetEnt,pyramid-quest-for-immortality-slot-netent.jpg,96.48%,720,Yes,No
125,Koi Princess,NetEnt,koi-princess-slot-netent.jpg,Unknown,20,Yes,Yes
126,Cashapillar,Microgaming,cashapillar.jpg,95.13%,100,Yes,No
127,Tomb Raider Secret Of the Sword,Microgaming,tomb-raider-secret-of-the-sword-slot-microgaming.jpg,95.2%,30,Yes,Yes
128,Eagle's Wings,Microgaming,eagles-wings-2.jpg,96.5%,25,Yes,Yes
129,Ramesses Riches,NextGen,ramesses-riches-slot-nextgen.jpg,95.5%,20,Yes,No
130,Robin Hood Shifting Riches,NetEnt,robin-hood-shifting-riches-slot-netent.jpg,96.8%,20,Yes,Yes
131,Medusa,NextGen,medusa.jpg,95.425%,25,Yes,Yes
132,Lucky Witch,Microgaming,lucky-witch-2.jpg,96.5%,15,Yes,Yes
133,Mad Mad Monkey,NextGen,madmad-monkey-slot-nextgen.jpg,95.411%,50,Yes,No
134,Simsalabim,NetEnt,simsalabim-slot.jpg,97.5%,25,Yes,Yes
135,Karate Pig,Microgaming,karate-pig-3.jpg,96.5%,40,Yes,Yes
136,Octopays,Microgaming,octopays-2.jpg,96.23%, 243,Yes,No
137,Untamed Bengal Tiger,Microgaming,untamed-bengal-tiger.jpg,96.3%,243,Yes,No
138,Lucky Angler,NetEnt,lucky-angler-a-snowy-catch-slot-netent.jpg,96.4%,15,Yes,Yes
139,Muse Wild Inspiration,NetEnt,muse-wild-inspiration-2.jpg,97%,25,Yes,Yes
140,Bust the Bank,Microgaming,bust-the-bank-2.jpg,96.5%,243,Yes,No
141,Book of Ra Deluxe,Novomatic,book-of-ra-deluxe-slot-novomatic.jpg,95.5%,10,Yes,No
142,Sweet Harvest,Microgaming,sweet-harvest.jpg,96.29%,20,Yes,No
143,Golden Era,Microgaming,golden-era-slot-microgaming.jpg,Unknown,15,Yes,Yes
144,Pimped,Play'n Go,pimped-slot-playn-go.jpg,96.51%,10,Yes,No
145,Rabbit in the Hat,Microgaming,rabbit-in-the-hat-slot.jpg,Unknown,9,Yes,Yes
146,Drive: Multiplier Mayhem,NetEnt,tdrive-multiplier-mayhem-slot-netent.jpg,96.7%,15,Yes,No
147,When Pigs Fly,NetEnt,when-pigs-fly-2.jpg,,3125, Yes,Yes
148,Wild Wild West: The Great Train Heist,NetEnt,wild-wild-west-slot-netent.jpg,96.7%,10,Yes,No
149,Burning Desire,Microgaming,burning-desire.jpg,96.19%,243,Yes,No
150,Devil's Delight,NetEnt,devils-delight-slot-netent.jpg,97.6%,20,Yes,Yes
151,Mermaids Millions,Microgaming,mermaids-millions.jpg,96.56%,15,Yes,Yes
152,Diamond Dogs,NetEnt,diamond-dogs-slot-netent.jpg,96.5%,25,Yes,Yes
153,Golden Shamrock,NetEnt,golden-shamrock-slot-netent.jpg,96.4%,20,Yes,No
154,Crocodopolis,Microgaming,crocodopolis-2.jpg,95.36%,25,Yes,No
155,Riviera Riches,Microgaming,riviera-riches-2-53ce78b970a0f86b388b456c.jpg,96%,15,Yes,Yes
156,Centre Court,Microgaming,centre-court-3.jpg,95.51%,9,Yes,No
157,Pure Platinum,Microgaming,pure-platinum.jpg,96.49%,40,Yes,No
158,MegaSpin Break Da Bank Again,Microgaming,megaspin-break-da-bank-again-53ce662270a0f83f388b456c.jpg,95.43%,9,Yes,No
159,Demolition Squad,NetEnt,demolition-squad-3.jpg,97.1%,40,Yes,No
160,Rhyming Reels Georgie Porgie,Microgaming,rhyming-reels-georgie-porgie-ss.jpg,95%,15,Yes,No
161,Fortune Hill,Playtech,fortunehill-ss.jpg,Unknown,25,Yes,Yes
162,So Much Candy,Microgaming,so-much-candy.jpg,Unknown,25,Yes,No
163,Big Bad Wolf,Quickspin,big-bad-wolf-slot-quickspin.jpg,97.35%,25,Yes,No
164,Gemix,Play'n Go,gemix-slot-playn-go.jpg,96.75%,1,No,Yes
165,Tornado: Farm Escape,NetEnt,tornado-farm-escape.jpg,96.5%,20,No,No
166,Cricket Star,Microgaming,cricket-star-slot-microgaming.jpg,Unknown,243,Yes,No
167,Ariana,Microgaming,ariana-slot.jpg,,25,Yes,Yes
168,Bridesmaids,Microgaming,bridesmaids-slot-microgaming.jpg,Unknown,40,Yes,Yes
169,Aloha Cluster Pays,NetEnt,aloha-cluster-pays-slot-netent.jpg,96.42%,,Yes,No
170,Reactoonz,Play'n Go,reactoonz.jpg,,,No,No
171,Big Break,Microgaming,big-break.jpg,95.23%,15,Yes,No
172,Gladiator,Betsoft,gladiator-slot-betsoft.jpg,94%,30,No,Yes
173,Spring Break,Microgaming,spring-break-slot-microgaming.jpg,96.1%,9,Yes,No
174,Stash of the Titans,Microgaming,stash-of-the-titans.jpg,95.07%,20,Yes,No
175,Dolphin Reef,Playtech,dolphin-reef.jpg,96%,20,Yes,No
176,Santa Surprise,Playtech,santa-surprise-slot-playtech.jpg,97%,20,Yes,Yes
177,Sterling Silver,Microgaming,sterling-silver.jpg,Unknown,25,Yes,No
178,Tennis Stars,Playtech,tennis-stars-slot.jpg,95.6%,40,Yes,Yes
179,Kings of Cash,Microgaming,king-of-cash-slot-microgaming.jpg,96.60%,15,No,Yes
180,Silver Fang,Microgaming,silver-fang.jpg,96.16%,50,Yes,No
181,Shoot,Microgaming,shoot.jpg,96.5%,50,Yes,Yes
182,The Twisted Circus,Microgaming,wisted-ircus.jpg,96.36%,243,Yes,Yes
183,Battlestar Galactica,Microgaming,battlestar-galactica-53ce2ada70a0f837338b456c.jpg,96.62%,243,Yes,Yes
184,Racing For Pinks,Microgaming,racing-for-pinks-microgaming-ss.jpg,96.42%,243,Yes,Yes
185,Arctic Fortune,Microgaming,artic-fortune-53ce279f70a0f8eb188b456a.jpg,96.58%,1024,Yes,No
186,Dr Watts Up,Microgaming,dr-watts-up-53ce485570a0f850378b456a.jpg,97%,243,Yes,Yes
187,Shark School,RTG,shark-schrool-rtg-ss.jpg,95%,50,Yes,Yes
188,Sherlock Mystery,Playtech,sherlock-mystery-ss.jpg,,20,Yes,Yes
189,Fruit Zen,Betsoft,fruit-zen-slot-betsoft.jpg,Unknown,10,No,No
190,Vulcan,RTG,vulcan.jpg,Unknown,25,Yes,No
191,So Much Sushi,Microgaming,so-much-sushi.jpg,Unknown,25,Yes,No
192,Bork the Berzerker,Thunderkick,brk-the-berzerker-slot-thunderkick.jpg,97.3%,25,Yes,No
193,Pearls Of India,Play'n Go,pearls-of-india-slot-playn-go.jpg,96.87%,20,Yes,Yes
194,Gung Pow,Microgaming,gung-pow.jpg,Unknown,243,Yes,No
195,King Ofs,NetEnt,king-of-slots-netent.jpg,Unknown,26,Yes,No
196,Lucky Leprechaun,Microgaming,lucky-leprechaun-slot-microgaming.jpg,Unknown,20,Yes,Yes
197,Tower Quest,Play'n Go,tower-quest-slot-playn-go.jpg,96.24%,20,Yes,Yes
198,GLOW,NetEnt,glow-slot-netent.jpg,96.7%,15,Yes,No
199,Spin Party,Play'n Go,spin-party-slot-playn-go.jpg,96%,10,Yes,No
200,Lucky Twins,Microgaming,lucky-twins-slot-microgaming-2.jpg,Unknown,9,No,No
201,Fantasini: Master of Mystery,NetEnt,fantasini-master-of-mystery-slot-netent.jpg,Unknown,243,No,No
202,Theme Park: Tickets of Fortune,NetEnt,theme-park-tickets-of-fortune-slot-netent.jpg,96.52%,50,No,Yes
203,Secrets of Atlantis,NetEnt,secrets-of-atlantis-slot-netent.jpg,97.1%,40,Yes,No
204,Joker Pro,NetEnt,joker-pro-slot-netent.jpg,96.8%,10,Yes,No
205,Fairytale Legends: Red Riding Hood,NetEnt,fairytale-legends.jpg,96.3%,20,Yes,Yes
206,Cleopatra's Coins,Rival Gaming,cleopatras-coins-slot-Rival Gaming.jpg,95%,15,Yes,Yes
207,Kong,Playtech,king-kong-slot-playtech.jpg,95.5%,20,No,Yes
208,Moonshine,Microgaming,moonshine.jpg,95.96%,25,Yes,No
209,Pacific Attack,NetEnt,pacific-attack-slot-netent.jpg,95.5%,15,Yes,Yes
210,Secret Admirer,Microgaming,secret-admirer-ss.jpg,96.08%,9,Yes,No
211,Spellcast,NetEnt,spellcast.jpg,96%,20,Yes,No
212,Summertime,Microgaming,summertime-ss.jpg,95.05%,9,Yes,No
213,Scrooge,Microgaming,scrooge1-main.jpg,96.74%,50,Yes,Yes
214,Frankie Dettori's Magic Seven,Playtech,frankie-dettoris-magic-seven-slot-playtech.jpg,96%,25,Yes,Yes
215,Top Trumps Celebs,Playtech,top-trumps-celebs-slot.jpg,97%,20,Yes,Yes
216,Fortune Teller,NetEnt,fortune-teller-slot-netent.jpg,93.3%,30,Yes,Yes
217,The Funky 70's,NetEnt,the-fubky-seventies-slot-netent-2.jpg,96.5%,40,Yes,No
218,Easter Surprise,Playtech,easter-surprise-slot-playtech.jpg,97%,20,Yes,Yes
219,Trolls,NetEnt,trolls-slot-netent.jpg,95.1%,20,Yes,No
220,Retro Reels Extreme Heat,Microgaming,retro-reels-extreme-heat-slot-microgaming.jpg,97.5%,30,Yes,No
221,Siberian Storm,IGT,siberian-storm-slot-igt.jpg,96%,720,Yes,No
222,The Mummy,Playtech,the-mummy-slot-playtech.jpg,96.8%,25,Yes,Yes
223,Starlight Kiss,Microgaming,starlight-kiss-slot-microgaming.jpg,96.52%,30,Yes,Yes
224,Fat Lady Sings,Microgaming,fat-lady-sings-53c7de0870a0f89b298b456c.jpg,96.54%,25,Yes,Yes
225,Montezuma,WMS,montezuma-ss.jpg,,30,Yes,No 
226,Sunset Beach,Playtech,sunset-beach-ss.jpg,,80,Yes,No
227,High Society,Microgaming,21a856f7c33b5cbc1eaa41fbb14a7f6fa9.jpg,97%,25,Yes,No
228,Sunny Scoops,Thunderkick,sunny-scoops-slot-thunderkick.jpg,96%,14,Yes,Yes
229,Birds On A Wire,Thunderkick,birds-on-a-wire-slot-thunderkick.jpg,97.2%,17,Yes,No
230,1429 Uncharted Seas,Thunderkick,1429-uncharted-seas-slot.jpg,98.6%,25,Yes,No
231,Wild Blood,Play'n Go,wild-blood-slot-playn-go.jpg,96%,15,Yes ,Yes
232,Raging Rhino,WMS,raging-rhino-slot-wms-2.jpg,95.91%,4096,Yes,No
233,Piggies And The Wolf,Playtech,piggies-and-the-wolf.jpg,92.10%,50,Yes,Yes
234,Marilyn Monroe,Playtech,marilyn-monroe.jpg,Unknown,20,Yes,No
235,Golden Ticket,Play'n Go,golden-ticket-slot.jpg,96.73%,,Yes,Yes
236,Crazy Cows,Play'n Go,crazy-cows-slot-playn-go-2.jpg,96.17%,15,Yes,Yes
237,Merry Xmas,Play'n Go,merry-xmas-slot-playn-go.jpg,95.79%,15,No,Yes
238,Zeus III,WMS,zeus-3-slot-wms.jpg,96.10%,192,Yes,No
239,Arcader,Thunderkick,arcader-slot-thunderkick.jpg,Unknown,15,Yes,Yes
240,NRVNA,NetEnt,nrvna-slot-netent.jpg,96.60%,30,Yes,No
241,Panther Moon,Playtech,panther-moon.JPG,95.17%,15,Yes,Yes
242,Hot as Hades,Microgaming,hot-as-hades-slot-microgaming-2.jpg,Unknown,20,Yes,Yes
243,Rugby Star,Microgaming,rugby-star-slot-microgaming.jpg,Unknown,243,Yes,No
244,Football: Champions Cup,NetEnt,football-champions-cup-slot-netent.jpg,96.82%,20,Yes,Yes
245,Motorhead,NetEnt,motorhead-slot-netent.jpg,96.98%,76,Yes,No
246,Wild Swarm,Push Gaming,wild-swarm.jpg,97.03%,20,Yes,No
247,Dead or Alive 2,NetEnt,dead-or-alive-2-slot-netent.jpg,96.82%,9,Yes,No
248,Cashanova,Microgaming,cashanova.jpg,96.41%,30,Yes,No
249,Cleopatra,IGT,cleopatra-slot-igt.jpg,95.02%,20,Yes,No
250,Flying Circus,Microgaming,flying-circus.jpg,Unknown,20,Yes,No
251,Gladiator,Playtech,gladiator-slot-playtech.jpg,94.1%,25,Yes,Yes
252,Isis,Microgaming,isis.JPG,Unknown,25,Yes,No
253,Mega Joker,Novomatic,mega-joker-slot-novomatic.jpg,96%,40,No,No
254,Munchkins,Microgaming,munchkins.jpg,95.88%,15,Yes,No
255,Skull Duggery,Microgaming,skull-duggery-ss.jpg,95.81%,9,No,No
256,Supe it Up,Microgaming,supe-it-up-slot-microgaming.jpg,95.21%,25,Yes,No
257,Sure Win,Microgaming,sure-win.jpg,Unknown,25,Yes,No
258,Wild Spirit,Playtech,wild-spirit.jpg,92%,20,Yes,No
259,Witches Wealth,Microgaming,witches-wealth-53cf747070a0f813308b4567.jpg,95.5%,9,No,Yes
260,Lady in Red,Microgaming,lady-in-red.jpg,96.25%,25,Yes,No
261,Soccer Safari,Microgaming,soccer-safari-slot-poster.jpg,96.5%,30,Yes,Yes
262,Jungle Games,NetEnt,jungle-games-slot-netent.jpg,96.6%,20,Yes,Yes
263,Secrets of Horus,NetEnt,the-secret-of-horus-slot-netent.jpg,96%,20,Yes,No
264,Secret Code,NetEnt,secret-code-slot-netent.jpg,96.3%,20,Yes,Yes
265,Thrill Spin,NetEnt,thrill-spin-slot-netent.jpg,95.9%,15,Yes,No
266,The Groovy Sixties,NetEnt,the-groovy-sixties-slot-netent.jpg,96.5%,40,Yes,No
267,Zeus,WMS,zeus-slot-wms.jpg,97%,30,Yes,No
268,Irish Eyes,Microgaming,irish-eyes-slot-microgaming.jpg,95.13%,25,Yes,Yes
269,Retro Reels Diamond Glitz,Microgaming,retro-reels-diamond-glitz.jpg,96.47%,25,Yes,No
270,Mount Olympus,Microgaming,mount-olympus.jpg,96%,25,Yes,No
271,Surf Safari,Microgaming,surf-safari.jpg,95.88%,243,No,Yes
272,Rook's Revenge,Betsoft,rooks-revenge-slot-betsoft.jpg,94.5%,25,Yes,No
273,Supernova,Microgaming,supernova-ss.jpg,97.05%,27,No,No
274,Jason and the Golden Fleece,Microgaming,jason-and-the-golden-fleece-2.jpg,96.54%,25,Yes,Yes
275,Boomanji,Betsoft,boomanji-slot-betsoft.jpg,94.9%,10,Yes,No
276,Mystic Dreams,Microgaming,mystic-dreams-ss.jpg,96.06%,243,Yes,No
277,Retro Reels,Microgaming,retro-reels-53ce769a70a0f84b378b4570.jpg,96.47%,20,Yes,No
278,Gypsy Rose,Betsoft,gypsy-rose-slot-betsoft.jpg,97.6%,30,Yes,Yes
279,Wildcat Canyon,NextGen,wildcat-canyon-ss.jpg,Unknown,25,Yes,No
280,Robo Jack,Microgaming,robo-jack-ss.jpg,Unknown,243,Yes,Yes
281,Galacticons,Microgaming,galacticons-53d60d8470a0f8b80e8b4567.jpg,96.14%,243,Yes,No
282,Loose Cannon,Microgaming,loose-cannon-53db653270a0f8a5538b456a.jpg,97%,243,Yes,No
283,Toki Time,Thunderkick,toki-time-slot-thunderkick.jpg,97.1%,11,No,No
284,Magicious,Thunderkick,magicious-slot-thunderkick.jpg,97.6%,10,Yes,No
285,Hot Roller,NextGen,hot-roller-slot-nextgen.jpg,Unknown,25,Yes,No
286,Gorilla Go Wild,NextGen,gorilla-go-wild-slot-nextgen.jpg,96.5%,25,Yes,Yes
287,Foxin' Wins Again,NextGen,foxin-wins-again-slot-nextgen.jpg,Unknown,50,Yes,No
288,Golden Princess,Microgaming,golden-princess-slot-microgaming.jpg,Unknown,25,Yes,Yes
289,Big Chef,Microgaming,big-chef.jpg,Unknown,15,Yes,Yes
290,Sparks,NetEnt,sparks-slot-netent.jpg,96.54%,20,Yes,No
291,Grim Muerto,Play'n Go,grim-muerto-slot-playn-go.jpg,,20,Yes,No
292,Jungle Jim El Dorado,Microgaming,jungle-jim-el-dorado-slot-microgaming-2.jpg,,25,Yes,No
293,Warlords: Crystals of Power,NetEnt,warlords-slot-netent.jpg,96.8%,30,Yes,
294,Secrets of Christmas,NetEnt,secrects-of-christmas-slot-netent.jpg,96.7%,25,Yes,Yes
295,A Night Out,Playtech,a-night-out-slot-playtech.jpg,97%,20,Yes,Yes
296,Captain's Treasure,Playtech,captain's-treasure.jpg,97%,9,No,No
297,Future Fortunes,Rival Gaming,future-fortunes.jpg,96%,20,Yes,Yes
298,Jungle Jim,Microgaming,jungle-jim.jpg,Unknown,15,Yes,No
299,Ladies Nite,Microgaming,ladies-nite.jpg,96.1%,9,Yes,No
300,Queen of Hearts Deluxe,Novomatic,queen-of-hearts-ss-novomatic.jpg,95.9%,9,Yes,No
